Which organisation did the UK vote to leave at a referendum on 23 June 2016?	United Nations	Commonwealth	European Union	NATO	C	The Conservative government called a referendum on the UK's membership of the European Union. This was held on 23 June 2016. The UK voted by a margin of 51.9% to 48.1% to leave the European Union.	../src/online/random.json	
Which of these sectors was nationalised by the post-war Labour government?	Coal mining	The banks	The airlines	Farming	A	The Labour government elected in 1945 took into public ownership (nationalised) the railways, coal mines and gas, water and electricity supplies.	../src/online/random.json	
Who or what were the 'clans'?	English lords	Welsh landowners	Prominent families in Scotland and Ireland	Prominent families in England and Wales	C	The feudal system developed in southern Scotland. In the north of Scotland and Ireland, land was owned by members of the 'clans' (prominent families).	../src/online/random.json	
Which of the following is a core value of the civil service?	Laziness	Party loyalty	Integrity	Favouritism	C	Civil servants are expected to carry out their role with dedication and a commitment to the civil service and its core values. These are: integrity, honesty, objectivity and impartiality (including being politically neutral).	../src/online/random.json	
Which of the following happened in 1707?	The Act of Union was agreed, creating the Kingdom of Great Britain	The Hundred Years War began	The English Civil War ended	The Emancipation Act abolished slavery	A	The Act of Union, known as the Treaty of Union in Scotland, was agreed in 1707, creating the Kingdom of Great Britain. Although Scotland was no longer an independent country, it kept its own legal and education systems and Presbyterian Church.	../src/online/random.json	
A delay in introducing Home Rule to Ireland resulted in the Easter Rising, which took place in which city?	Belfast	Dublin	Liverpool	London	B	 The outbreak of the First World War led the British government to postpone any changes in Ireland. Irish Nationalists were not willing to wait and in 1916 there was an uprising (the Easter Rising) against the British in Dublin. 	../src/online/random.json	
King Edward I of England annexed Wales to the crown of England by which statute?	The Statute of Caernarfon	The Statute of Gwynedd	The Statute of Carmarthen	The Statute of Rhuddlan	D	The English kings fought with the Welsh, Scottish and Irish noblemen for control of their lands. In Wales, the English were able to establish their rule. In 1284 King Edward I of England introduced the Statute of Rhuddlan, which annexed Wales to the Crown of England.	../src/online/random.json	
Which of the following statements is correct?	In some areas local councils are appointed by local business owners.	Local councils are always elected.			B	Towns, cities and rural areas in the UK are governed by democratically elected councils, often called local authorities.	../src/online/random.json	
Which TWO of these countries fought on the side of the Allied Powers during the First World War?	Bulgaria	Italy	Germany	France	B, D	The First World War was centred in Europe, but it was a global war involving nations from around the world. Britain was part of the Allied Powers, which included (amongst others) France, Russia, Japan, Belgium, Serbia -- and later, Greece, Italy, Romania and the United States.	../src/online/random.json	
Which government department collects taxes?	PAYE	NHS	HMRC	HMSO	C	For most people, the right amount of income tax is automatically taken from their income from employment by their employer and paid directly to HM Revenue & Customs (HMRC), the government department that collects taxes.	../src/online/random.json	
On which day do people send cards anonymously to someone they admire?	Christmas Day	New Year's Day	Valentine's Day	April Fool's Day	C	Valentine's Day, 14 February, is when lovers exchange cards and gifts. Sometimes people send anonymous cards to someone they secretly admire.	../src/online/random.json	
Which Scottish poet was known as The Bard?	Robert Burns	Robert the Bruce	Bonnie Prince Charlie	Robert Davidson	A	Known in Scotland as The Bard, Robert Burns was a Scottish poet.	../src/online/random.json	
Income tax is paid on which of the following forms of income?	Shopping vouchers	Money you win on the lottery	Pensions	Small gifts of money	C	People in the UK have to pay tax on their income, which includes: • wages from paid employment • profits from self-employment • taxable benefits • pensions • income from property, savings and dividends.	../src/online/random.json	
Winston Churchill became Britain's Prime Minister in the early years of the Second World War.	True	False			A	Having occupied Austria and invaded Czechoslovakia, Hitler followed his invasion of Poland by taking control of Belgium and the Netherlands. Then, in 1940, German forces defeated allied troops and advanced through France. At this time of national crisis, Winston Churchill became Prime Minister and Britain's war leader.	../src/online/random.json	
Which TWO of the following have the right to vote to elect members of Parliament?	Adults who have been granted an indefinite right to remain in the UK	Adult citizens who were born in the UK	Adults who have been given a visa to study in the UK	Adults who are naturalised citizens of the UK	B, D	The present voting age of 18 was set in 1969 and (with a few exceptions) all UK-born and naturalised adult citizens have the right to vote.	../src/online/random.json	
Which of the following said 'I have nothing to offer but blood, toil, tears and sweat'?	Charles II	Margaret Thatcher	Robert Browning	Winston Churchill	D	Winston Churchill said, 'I have nothing to offer but blood, toil, tears and sweat' during his first speech to the House of Commons after he became Prime Minister in 1940.	../src/online/random.json	
Which of these is a Christmas tradition in the UK?	Eating chocolate eggs	Having a barbecue	Fireworks displays	Decorating houses and trees	D	Christmas is celebrated in a traditional way. People usually spend the day at home and eat a special meal, which often includes roast turkey, Christmas pudding and mince pies. They give gifts, send cards and decorate their houses. Many people decorate a tree in their home.	../src/online/random.json	
Who invaded Britain after the Roman army left?	Japan	Germany	The Normans	The Jutes, the Angles and the Saxons	D	The Roman army left Britain in AD 410 to defend other parts of the Roman Empire and never returned. Britain was again invaded by tribes from northern Europe: the Jutes, the Angles and the Saxons.	../src/online/random.json	
What is New Year's Eve called in Scotland?	Boxing Day	Hogmanay	Auld Lang Syne	St Andrew's Day	B	Robert Burns' best-known work is probably the song Auld Lang Syne, which is sung by people in the UK and other countries when they are celebrating the New Year (or Hogmanay as it is called in Scotland).	../src/online/random.json	
Which king united the people of what is now Scotland to protect them from the threat of Viking attacks?	Kenneth MacAlpin	Robert Bruce	Robert Burns	William Wallace	A	The threat of attack by Vikings had encouraged the people to unite under one king, Kenneth MacAlpin. The term Scotland then began to be used to describe that country.	../src/online/random.json	
Which of the following statements is correct?	The Wimbledon Championships is an athletics tournament.	The Wimbledon Championships is a tennis tournament.			B		../src/online/random.json	
The Festival of Lights is another name for which of the following?	Vaisakhi	Christmas	Diwali	Eid ul Adha	C	Diwali is popularly known as the Festival of Lights.	../src/online/random.json	
Which is the biggest stretch of water in the Lake District?	Coniston Water	Derwentwater	Ullswater	Windermere	D	The Lake District is England's largest national park. It covers 885 square miles (2,292 square kilometres). The biggest stretch of water is Windermere.	../src/online/random.json	
A conflict in which of these areas in the 1990s involved British troops?	The Maldives	The Former Republic of Yugoslavia	South Africa	France	B	Throughout the 1990s, Britain played a leading role in coalition forces involved in the liberation of Kuwait, following the Iraqi invasion in 1990, and the conflict in the former Republic of Yugoslavia.	../src/online/random.json	
What is the name of a major sports stadium in Cardiff?	The Welsh Arena	The Principality Stadium	Cardiff Park	South Wales Stadium	B	Many sporting events take place at major stadiums such as Wembley Stadium in London and the Principality Stadium in Cardiff.	../src/online/random.json	
Which of the following is a ministerial position appointed to the cabinet?	The Chancellor of the Exchequer	The Speaker	The leader of the opposition	Chief Constable	A	The Prime Minister appoints about 20 senior MPs to become ministers in charge of departments. These include: • Chancellor of the Exchequer • Home Secretary • Foreign Secretary • Other ministers (called Secretaries of State).	../src/online/random.json	
After the Second World War, the British government encouraged workers from Ireland and other parts of Europe to come to the UK and help to rebuild Britain.	True	False			A	Rebuilding Britain after the Second World War was a huge task. There were labour shortages and the British government encouraged workers from Ireland and other parts of Europe to come to the UK and help with the reconstruction.	../src/online/random.json	
Which of the following statements is correct?	The Scottish Parliament can pass laws for Scotland on all matters.	The Scottish Parliament can only pass legislation for Scotland on certain matters.			B	The Scottish Parliament can pass laws for Scotland on all matters which are not specifically reserved to the UK Parliament. The matters on which the Scottish Parliament can legislate include: • civil and criminal law • health • education • planning • additional tax-rising powers.	../src/online/random.json	
Which two of the following are British overseas territories?	Jamaica	St Helena	Australia	The Falkland Islands	B, D	There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are linked to the UK but are not a part of it.	../src/online/what_is_the_uk.json	
The Isle of Man is which of the following?	A Crown dependency and not a part of the UK	An overseas territory and not a part of the UK	A Crown dependency and part of the UK	A Crown dependency and part of Great Britain	A	The Isle of Man is closely linked with the UK but is not a part of it. It has its own government and is called a 'Crown dependency'.	../src/online/what_is_the_uk.json	
Which countries make up 'Great Britain'?	England, Scotland and Northern Ireland	England, Scotland, Wales and Northern Ireland	Wales and England	England, Scotland and Wales	D	The name 'Britain' or 'Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland. The adjective 'British', however, usually refers to everyone in the UK, including Northern Ireland.	../src/online/what_is_the_uk.json	
'Great Britain' and 'the United Kingdom' have the same meaning.	True	False			B	The official name of the country is the United Kingdom of Great Britain and Northern Ireland. 'Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland. The words 'Britain', 'British Isles' or 'British', however, are used in this book to refer to everyone in the UK.	../src/online/what_is_the_uk.json	
England, Scotland, Wales and Northern Ireland are governed only by the parliament sitting in Westminster.	True	False			B	Whilst the UK is governed by the parliament sitting in Westminster, Scotland, Wales and Northern Ireland also have parliaments or assemblies of their own, with devolved powers in defined areas.	../src/online/what_is_the_uk.json	
'Great Britain' refers to England, Wales, Scotland and Northern Ireland.	True	False			B	The official name of the country is the United Kingdom of Great Britain and Northern Ireland. 'Great Britain' refers to England, Scotland and Wales, and does not include Northern Ireland.	../src/online/what_is_the_uk.json	
Which of the following statements is correct?	St Helena and the Falkland Islands are Crown dependencies.	St Helena and the Falkland Islands are British overseas territories.			B	There are several British overseas territories in other parts of the world, such as St Helena and the Falkland Islands. They are linked to the UK but are not a part of it.	../src/online/what_is_the_uk.json	
The Republic of Ireland is a part of the UK.	True	False			B	The UK is made up of England, Scotland, Wales and Northern Ireland. The rest of Ireland is an independent country.	../src/online/what_is_the_uk.json	
Where does the UK Parliament sit?	Westminster	Downing Street	Stormont	Edinburgh Castle	A	The UK is governed by the Parliament sitting at Westminster.	../src/online/what_is_the_uk.json	
British overseas territories are part of the UK.	True	False			B	British overseas territories are linked to the UK but are not part of it.	../src/online/what_is_the_uk.json	
Northern Ireland is part of Great Britain.	True	False			B	'Great Britain' refers only to England, Scotland and Wales, not to Northern Ireland.	../src/online/what_is_the_uk.json	
The Channel Islands and the Isle of Man are part of the UK.	True	False			B	There are several islands which are closely linked with the UK but are not part of it: the Channel Islands and the Isle of Man. These have their own governments and are called 'Crown dependencies'.	../src/online/what_is_the_uk.json	
Is costs £20 for a ticket to watch debates in the Houses of Parliament.	True	False			B	The public can listen to debates in the Palace of Westminster from public galleries in both the House of Commons and the House of Lords. Entrance is free - you can get a ticket from your local MP or queue on the day.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which TWO languages are spoken in the Senedd?	Walloon	English	Welsh	Ulster Scots	B, C	Members of the Senedd can speak in either Welsh or English, and all of the Senedd's publications are in both languages.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Did Northern Ireland have a Parliament prior to the creation of the Northern Ireland Assembly?	Yes, it was renamed the Northern Ireland Assembly after the Troubles	Yes, but it was abolished during the Troubles			B	A Northern Ireland Parliament was established in 1922, when Ireland was divided, but it was abolished in 1972, shortly after the Troubles broke out in 1969. The Northern Ireland Assembly was established soon after the Belfast Agreement (or Good Friday Agreement) in 1998.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the following statements is correct?	Pressure and lobby groups are set up by MPs to help them get elected.	Pressure and lobby groups try and influence government policy.			B	Pressure and lobby groups are organisations which try to influence government policy.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
The Prime Minister appoints ministers called Secretaries of State who are responsible for subjects such as education, health and defence.	True	False			A	The Prime Minister appoints about 20 senior MPs to become ministers in charge of departments. These include: - Chancellor of the Exchequer -- responsible for the economy - Home Secretary -- responsible for crime, policing and immigration - Foreign Secretary -- responsible for managing relationships with foreign countries - other ministers (called 'Secretaries of State') responsible for subjects such as education, health and defence.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Pressure and lobby groups focus on which TWO of the following?	Running violent protests	Representing the views of British businesses	Dealing with complaints from constituents	Influencing government policy	B, D	Presssure groups and lobby groups play an important part in the political processes of the UK. Some are representative organisations such as the CBI (Confederation of British Industry), which represents the views of British business. Others campaign on particular topics, such as the environment (for example, Greenpeace) or human rights (for example, Liberty). They lobby politicians to get their views across.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
What is the role of the opposition?	To make policy as government	To propose alternative policies to government	To appoint the Speaker	To always vote against government policy at all times	B	The leader of the opposition leads his or her party in pointing out what they see as the government's failures and weaknesses. The leader of the opposition also appoints senior opposition MPs to be shadow ministers. They form the shadow cabinet and their role is to challenge the government and put forward alternative policies.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the following statements is correct?	In the Northern Ireland Assembly, all ministerial offices are held by the majority party.	In the Northern Ireland Assembly, ministerial offices are shared amongst the main parties.			B	The Northern Ireland Assembly was established soon after the Belfast Agreement (or Good Friday Agreement) in 1998. There is a power-sharing agreement that distributes ministerial offices amongst the main parties.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Devolved adminstrations in Scotland, Wales and Northern Ireland do not have their own civil servants.	True	False			B	Scotland, Wales and Northern Ireland are devolved administrations and each have their own civil servants.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the following can stand for public office?	Civil servants	Members of the armed forces	People found guilty of certain criminal offences	British citizens born outside the UK	D	Most citizens of the UK, Ireland or the Commonwealth aged 18 or over can stand for public office. There are some exceptions, including: • members of the armed forces • civil servants • people found guilty of certain criminal offences.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which part of the UK has a different voter registration system from the rest?	Scotland	Northern Ireland	Wales	England	B	In Northern Ireland a different voter registration system operates. This is called individual registration and all those entitled to vote must complete their own registration form.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the statements below is correct?	The electoral register is updated every year in the autumn.	The electoral register is updated every few years in the autumn.			A	The electoral register is updated every year in September or October.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Pressure and lobby groups represent the interests of which TWO of the following?	Minor political parties	Foreign ambassadors	Business organisations	Campaigning organisations	C, D	Pressure and lobby groups are organisations which try to influence government policy. They play an important role in politics. Some are representative organisations such as the CBI (Confederation of British Industry), which represents the views of British business. Others campaign on particular topics, such as the environment (for example, Greenpeace) or human rights (for example, Liberty).	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the following statements is correct?	Having a free press means that newspaper owners may not hold political views.	Having a free press means that newspapers are not controlled by government.			B	The UK has a free press. This means that what is written in newspapers is free from government control.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
What is another name for a district or county council?	A local parliament	A governing body	A senate	A local authority	D	Towns, cities and rural areas in the UK are governed by democratically elected councils, often called local authorities. Some areas have both district and county councils, which have different functions.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Civil servants are appointed by the Prime Minister.	True	False			B	People can apply to join the civil service through an application process, like other jobs in the UK.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
How are local authorities funded?	By funding from central government only	By local taxes only	By central government funding and by local taxes	Local authorities are unfunded	C	Local authorities provide a range of services in their areas. They are funded by money from central government and by local taxes.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
The Assembly Booking Service assists people who wish to book a guided tour of the Senedd or which of the following?	Book seats in the public galleries of the Senedd	Buy tickets to see the Welsh National Opera	Buy tickets to view a public debate	Buy tickets to Prime Minister's Questions	A	You can book guided tours or seats in the public galleries for the Senedd. To make a booking, contact the Assembly Booking Service.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
The Senedd has how many members?	60	90	129	360	A	The Welsh government and the Senedd are based in Cardiff, the capital city of Wales. There are 60 members of the Senedd.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
If you can't make it to a polling station to vote you can register for which of the following?	A postal ballot	An absentee ballot	A public ballot	A virtual ballot	A	If it is difficult for you to get to a polling station or polling place, you can register for a postal ballot.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
The Senedd and Scottish Parliament have existed since 1999.	True	False			A	The Senedd and Scottish Parliament have operated since 1999.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
The Scottish Parliament has how many members?	60	108	129	360	C	There are 129 members of the Scottish Parliament (MSPs), elected by a form of proportional representation.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Where must your name be recorded in order for you to vote in an election?	Citizens' list	Civil list	Election list	Electoral register	D	To be able to vote in a parliamentary, or local election, you must have your name on the electoral register.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
What is the opposition?	The smallest party in the House of Commons	The smallest party in the House of Lords	The second-largest party in the House of Commons	The second-largest party in the House of Lords	C	The second-largest party in the House of Commons is called the opposition.	../src/online/uk_government_the_law_and_your_role/the_government/01.json	
Which of the following is located at Holyrood?	The Houses of Parliament	The Senedd	The Northern Ireland Assembly	The Scottish Parliament	D	In Scotland the elected members, called MSPs, meet in the Scottish Parliament building at Holyrood in Edinburgh.	../src/online/uk_government_the_law_and_your_role/the_government/00.json	
